Gene_UniProt,Ensembl,Gene_description,UniProt_protein,MIM_Number,Gene_HGNC,Entrez Gene ID,Main_location,Additional_location,Extracellular_location,GO_id
TSPAN6,ENSG00000000003,Tetraspanin 6,O43657,300191.0,TSPAN6,7105.0,Cell Junctions;Cytosol,Nucleoli fibrillar center,,Cell Junctions (GO:0030054);Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650)
TNMD,ENSG00000000005,Tenomodulin,Q9H2S6,300459.0,TNMD,64102.0,,,,
DPM1,ENSG00000000419,"Dolichyl-phosphate mannosyltransferase subunit 1, catalytic",O60762,603503.0,DPM1,8813.0,,,,
SCYL3,ENSG00000000457,SCY1 like pseudokinase 3,Q8IZE3,608192.0,SCYL3,57147.0,Cytosol;Golgi apparatus,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
C1orf112,ENSG00000000460,Chromosome 1 open reading frame 112,Q9NSG2,,FIRRM,55732.0,Nucleoplasm,Nucleoli,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
FGR,ENSG00000000938,"FGR proto-oncogene, Src family tyrosine kinase",P09769,164940.0,FGR,2268.0,Plasma membrane,Aggresome,,Aggresome (GO:0016235);Plasma membrane (GO:0005886)
CFH,ENSG00000000971,Complement factor H,P08603,134370.0,CFH,3075.0,Vesicles,,Predicted to be secreted,Vesicles (GO:0043231)
FUCA2,ENSG00000001036,Alpha-L-fucosidase 2,Q9BTY2,136820.0,FUCA2,2519.0,,,,
GCLC,ENSG00000001084,Glutamate-cysteine ligase catalytic subunit,P48506,606857.0,GCLC,2729.0,Nucleoplasm,Cytosol;Nucleoli,,Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
NFYA,ENSG00000001167,Nuclear transcription factor Y subunit alpha,P23511,189903.0,NFYA,4800.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
STPG1,ENSG00000001460,Sperm tail PG-rich repeat containing 1,Q5TH74,615826.0,STPG1,90529.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
NIPAL3,ENSG00000001461,NIPA like domain containing 3,Q6P499,620034.0,NIPAL3,57185.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
LAS1L,ENSG00000001497,LAS1 like ribosome biogenesis factor,Q9Y4W2,300964.0,LAS1L,81887.0,Nucleoplasm,Centriolar satellite;Cytosol,,Centriolar satellite (GO:0034451);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENPP4,ENSG00000001561,Ectonucleotide pyrophosphatase/phosphodiesterase 4,Q9Y6X5,617000.0,ENPP4,22875.0,,,,
SEMA3F,ENSG00000001617,Semaphorin 3F,Q13275,601124.0,SEMA3F,6405.0,,,,
CFTR,ENSG00000001626,CF transmembrane conductance regulator,P13569,602421.0,CFTR,1080.0,,,,
ANKIB1,ENSG00000001629,Ankyrin repeat and IBR domain containing 1,Q9P2G1,620069.0,ANKIB1,54467.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
CYP51A1,ENSG00000001630,Cytochrome P450 family 51 subfamily A member 1,Q16850,601637.0,CYP51A1,1595.0,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783)
KRIT1,ENSG00000001631,KRIT1 ankyrin repeat containing,O00522,604214.0,KRIT1,889.0,Vesicles,,,Vesicles (GO:0043231)
RAD52,ENSG00000002016,"RAD52 homolog, DNA repair protein",P43351,600392.0,RAD52,5893.0,Nuclear speckles,Plasma membrane,,Nuclear speckles (GO:0016607);Plasma membrane (GO:0005886)
BAD,ENSG00000002330,BCL2 associated agonist of cell death,Q92934,603167.0,BAD,572.0,Mitochondria,End piece;Mid piece;Principal piece,,End piece ();Mid piece ();Mitochondria (GO:0005739);Principal piece ()
LAP3,ENSG00000002549,Leucine aminopeptidase 3,P28838,170250.0,LAP3,51056.0,Cytosol,Calyx;Mid piece;Midbody;Nucleoplasm;Principal piece,,Calyx ();Cytosol (GO:0005829);Mid piece ();Midbody (GO:0030496);Nucleoplasm (GO:0005654);Principal piece ()
CD99,ENSG00000002586,CD99 molecule (Xg blood group),P14209,313470.0,CD99,4267.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
HS3ST1,ENSG00000002587,Heparan sulfate-glucosamine 3-sulfotransferase 1,O14792,603244.0,HS3ST1,9957.0,Vesicles,,,Vesicles (GO:0043231)
AOC1,ENSG00000002726,Amine oxidase copper containing 1,P19801,104610.0,AOC1,26.0,,,,
WNT16,ENSG00000002745,Wnt family member 16,Q9UBV4,606267.0,WNT16,51384.0,,,,
HECW1,ENSG00000002746,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",Q76N89,610384.0,HECW1,23072.0,Nucleoli fibrillar center,Cytosol,,Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650)
MAD1L1,ENSG00000002822,Mitotic arrest deficient 1 like 1,Q9Y6D9,602686.0,MAD1L1,8379.0,Nuclear membrane;Nucleoplasm,,,Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
LASP1,ENSG00000002834,LIM and SH3 protein 1,Q14847,602920.0,LASP1,3927.0,Cytosol;Plasma membrane,Focal adhesion sites,,Cytosol (GO:0005829);Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886)
SNX11,ENSG00000002919,Sorting nexin 11,Q9Y5W9,614906.0,SNX11,29916.0,Endoplasmic reticulum,Vesicles,,Endoplasmic reticulum (GO:0005783);Vesicles (GO:0043231)
TMEM176A,ENSG00000002933,Transmembrane protein 176A,Q96HP8,610334.0,TMEM176A,55365.0,Mitochondria,,,Mitochondria (GO:0005739)
M6PR,ENSG00000003056,"Mannose-6-phosphate receptor, cation dependent",P20645,154540.0,M6PR,4074.0,,,,
KLHL13,ENSG00000003096,Kelch like family member 13,Q9P2N7,300655.0,KLHL13,90293.0,Cytosol,,,Cytosol (GO:0005829)
CYP26B1,ENSG00000003137,Cytochrome P450 family 26 subfamily B member 1,Q9NR63,605207.0,CYP26B1,56603.0,Cytosol,,,Cytosol (GO:0005829)
ICA1,ENSG00000003147,Islet cell autoantigen 1,Q05084,147625.0,ICA1,3382.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
DBNDD1,ENSG00000003249,Dysbindin domain containing 1,Q9H9R9,620388.0,DBNDD1,79007.0,Nuclear speckles,Cytosol;End piece;Equatorial segment;Mid piece;Principal piece,,Cytosol (GO:0005829);End piece ();Equatorial segment ();Mid piece ();Nuclear speckles (GO:0016607);Principal piece ()
ALS2,ENSG00000003393,Alsin Rho guanine nucleotide exchange factor ALS2,Q96Q42,606352.0,ALS2,57679.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
CASP10,ENSG00000003400,Caspase 10,Q92851,601762.0,CASP10,843.0,Golgi apparatus,Vesicles,,Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
